setting_id,scenario,n,delta,local_c,censoring,censor_u,defier_rate,finite_jump,theorem_valid,seed_group,true_effect,reps,wald_coverage,score_coverage,wald_mean_length,wald_median_length,wald_p90_length,wald_p95_length,wald_p99_length,score_mean_length,score_median_length,score_p90_length,score_full_set,score_disconnected,score_empty,mean_first_stage,sd_first_stage,first_stage_near_zero,realized_censoring,cause1_event_rate,ratio_bias,ratio_rmse,ratio_median_abs_error,score_coverage_mcse,wald_coverage_mcse
11,core,1000,0.35,,0.0,0.0,0.0,True,True,11,-0.09649172685174347,5000,0.951,0.9446,0.4539240255284994,0.44753392328038377,0.5306288014142805,0.5615461902379784,0.6220374232748519,0.46894773833945985,0.46096692842408304,0.5535866777598589,0.0,0.0,0.0,0.24858326278511267,0.029901162967488248,0.0,0.0,0.27191400000000004,0.000904128567628889,0.11682193808625967,0.07606169508351696,0.0032351457463304493,0.0030528347482299146
12,core,1000,0.35,,0.3,0.0,0.0,True,True,12,-0.09649172685174347,5000,0.96,0.9524,0.48395606880432995,0.47499256457376304,0.5667651177749734,0.598838335408719,0.6734392516443531,0.49977211836276536,0.4890123991530535,0.5913331509120499,0.0,0.0,0.0,0.24958463927657495,0.029932622270365108,0.0,0.3000354,0.2726402,0.0023388612540809115,0.12194005395293665,0.08060305087667498,0.0030111207215918786,0.002771281292110205
13,local_to_zero,500,0.03143169233622606,0.5,0.3,0.0,0.0,True,True,13,-0.09649172685174347,5000,0.9978,0.9542,8036.845634635258,7.26032878139442,122.91987771947807,447.2612345450498,6487.271669313964,1.8922519829399504,2.0,2.0,0.8584,0.019,0.0014,0.022254565630511387,0.040819755215283644,0.164,0.30040159999999994,0.2829804,0.6946806100130437,51.01389249866699,0.9088195372122527,0.002956428926931948,0.0006625948988635484
14,local_to_zero,1000,0.022225562795114687,0.5,0.3,0.0,0.0,True,True,14,-0.09649172685174347,5000,0.9992,0.9552,4862.862346409356,7.403795110124583,124.28506001764302,450.6685196586478,6390.244941761106,1.8894213638394388,2.0,2.0,0.8514,0.0188,0.0016,0.01572572802870839,0.02884977254487784,0.2392,0.2996656,0.28323380000000004,-0.6562359658897939,36.44012224809164,0.9203288220252254,0.0029255071355236842,0.0003998399679871993
15,local_to_zero,2500,0.01405668014233213,0.5,0.3,0.0,0.0,True,True,15,-0.09649172685174347,5000,0.9998,0.9508,22067.667378822774,7.597099081605425,146.62278747779285,623.7935063333736,17645.51321693805,1.8882540687368972,2.0,2.0,0.8556,0.024,0.0014,0.009523378844659407,0.018062813437031165,0.372,0.29986088,0.28345344,-1.4637183573592716,62.2585340788635,0.9405356257486912,0.0030587369942510594,0.00019997999899988897
16,local_to_zero,5000,0.009939573849613333,0.5,0.3,0.0,0.0,True,True,16,-0.09649172685174347,5000,0.9996,0.9462,181705.94014481394,7.422782900303777,142.04036472755845,595.291976924317,12255.031468221247,1.8847195785041166,2.0,2.0,0.8562,0.021,0.0006,0.007074009598777943,0.012730933581272096,0.497,0.30011459999999995,0.28364724,1.8785330039939327,182.7470235307289,0.9293921922108721,0.0031907854832313614,0.0002827861382741226
17,local_to_zero,500,0.06286338467245212,1.0,0.3,0.0,0.0,True,True,17,-0.09649172685174347,5000,0.998,0.9452,2807.3781841599557,4.572017950624985,51.683482037420106,197.70337028378756,3887.1692131019427,1.8347514360279877,2.0,2.0,0.7586,0.017,0.0012,0.04487853985351109,0.04088824092504273,0.1044,0.29974759999999995,0.28204239999999997,-0.08495237741668822,21.29120180818081,0.6557495206453879,0.003218600938296016,0.0006318227599572528
18,local_to_zero,1000,0.04445112559022937,1.0,0.3,0.0,0.0,True,True,18,-0.09649172685174347,5000,0.9994,0.9476,879.4392683544727,4.477763380171579,51.269782927950125,246.2075441700657,4151.110161731776,1.8356494460849502,2.0,2.0,0.7546,0.0162,0.002,0.03202902084539863,0.028961984674254777,0.1434,0.2999616,0.282696,0.3215131088115934,15.415128957497467,0.6578499053690028,0.003151324800778238,0.0003463062228721987
19,local_to_zero,2500,0.02811336028466426,1.0,0.3,0.0,0.0,True,True,19,-0.09649172685174347,5000,0.999,0.9554,688.3150053088517,4.487054300005969,64.83100669084581,210.8344191357667,4077.5805822960697,1.8449567064596732,2.0,2.0,0.7596,0.016,0.001,0.020325616153146285,0.018329923439175208,0.2448,0.30019568,0.2829068,-0.16835032600843944,12.132972119638588,0.6547625855441823,0.0029192752525241594,0.0004469899327725404
20,local_to_zero,5000,0.019879147699226666,1.0,0.3,0.0,0.0,True,True,20,-0.09649172685174347,5000,0.9988,0.9482,6753.746589534788,4.70871481908823,60.84376049640086,239.02692128041934,7088.577359890251,1.838962021513409,2.0,2.0,0.759,0.013,0.003,0.013910989336576023,0.013042704381415231,0.355,0.30006972,0.28325816,0.30542927331902814,28.40208479758551,0.6864696775905075,0.0031342227106573,0.0004896039215529179
21,local_to_zero,500,0.12572676934490423,2.0,0.3,0.0,0.0,True,True,21,-0.09649172685174347,5000,0.996,0.9478,130.59785779651781,2.0227605431249627,6.790416578988362,14.673238725629584,212.91651847877986,1.6643050218783282,1.8400922954662706,2.0,0.4506,0.0048,0.0004,0.08966105507342133,0.042409710585459774,0.02,0.30024359999999994,0.27978600000000003,-0.06704308345432268,6.109709384643575,0.3308060123187936,0.003145636978419475,0.0008926365441768563
22,local_to_zero,1000,0.08890225118045875,2.0,0.3,0.0,0.0,True,True,22,-0.09649172685174347,5000,0.9938,0.9494,21.57150570290473,2.04642830762221,6.1452072791597185,13.33609426867363,171.6490048335992,1.6719150089156944,1.8485718874201877,2.0,0.4566,0.004,0.0002,0.0629278965278949,0.028970542235964552,0.0262,0.30010159999999997,0.281305,-0.022439935724503344,2.689357813971305,0.33316629284612914,0.0030996657884359074,0.0011100954913880142
23,local_to_zero,2500,0.05622672056932852,2.0,0.3,0.0,0.0,True,True,23,-0.09649172685174347,5000,0.9962,0.95,12216.189062915768,2.0358096977061098,6.160922909707393,13.424629710044266,184.4548946178106,1.6628524741940862,1.8181571002524595,2.0,0.445,0.0052,0.0002,0.040168121571695595,0.01868526412657843,0.0516,0.30011624000000003,0.28205264,-0.8184196239849705,63.44020824499091,0.3368220876688806,0.0030822070014844896,0.0008701218305501851
